Field_No_,Latitude,Longitude,UTM_E,UTM_N,Location_Area,Stratigraphy,Al_per,Ca_per,Fe_per,K_per,Mg_per,P_per,S_per,SO3_from_S,pct_alunite_from_SO3,pct_alunite_from_K2O,Si_per,Ti_per,Ag_ppm,As_ppm,B_ppm,Ba_ppm,Be_ppm,Bi_ppm,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Cu_ppm,Dy_ppm,Er_ppm,Eu_ppm,Ga_ppm,Gd_ppm,Ge_ppm,Hf_ppm,Ho_ppm,In_ppm,La_ppm,Li_ppm,Lu_ppm,Mn_ppm,Mo_ppm,Nb_ppm,Nd_ppm,Ni_ppm,Pb_ppm,Pr_ppm,Rb_ppm,Re_ppm,Sb_ppm,Sc_ppm,Se_ppm,Sm_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Tb_ppm,Te_ppm,Th_ppm,Tl_ppm,Tm_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Yb_ppm,Zn_ppm,Zr_ppm,S_per_1,Al2O3_per,BaO_per,CaO_per,Cr2O3_per,Fe2O3_per,K2O_per,LOI_per,MgO_per,MnO_per,Na2O_per,P2O5_per,SiO2_per,SrO_per,TiO2_per,V2O5_per
Al25TB075,38.06097,-113.695919,263481.5128,4216011.107,Typhoid Spring area,"Rhyolite tuffs and related clastic deposits, undivided",0.2,0.2,0.1,-0.1,-0.01,-0.01,0.01,0,0.1,0.7,>30.0,0.25,-1,-5,-10,222,-5,0.2,-0.2,9.5,-0.5,26,0.1,-10,1.85,1.55,0.24,3,1.12,-1,5,0.48,-0.2,4.4,21,0.28,12,8,14,2.6,-5,11,0.75,3.4,-0.02,0.6,-5,-1,0.7,-1,-10,0.7,0.26,-0.05,8.1,-0.5,0.25,6.59,5,2,12.3,1.8,-5,237,,0.37,0.03,0.31,-0.01,0.1,0.08,1.09978,-0.01,-0.01,0.03,0.01,97.67,-0.01,0.44,-0.01
Al25TB076,38.0615,-113.692692,263766.359,4216061.705,Typhoid Spring area,"Rhyolite tuffs and related clastic deposits, undivided",0.84,-0.1,0.09,0.1,0.04,0.03,0.07,0.2,0.5,1,>30.0,0.3,-1,-5,-10,334,-5,0.2,-0.2,77.6,-0.5,-10,1,-10,1.79,1.24,0.4,5,2,-1,9,0.4,-0.2,44.5,-10,0.2,19,2,25,31,7,33,8.87,9.6,-0.02,0.7,-5,-1,4,4,221,1.3,0.31,0.2,21.9,-0.5,0.19,5.53,9,3,10.8,1.4,7,357,,1.55,0.04,0.14,-0.01,0.12,0.11,3.28098,0.07,-0.01,0.02,0.09,93.81,0.04,0.53,-0.01
Al25TB077,38.059957,-113.693176,263718.9282,4215891.653,Typhoid Spring area,Lund Formation,6.84,-0.1,0.99,1.9,-0.01,0.07,3.17,7.9,20.5,17.7,>30.0,0.42,-1,-5,10,1203,-5,-0.1,-0.2,150,-0.5,12,0.6,-10,2.54,1.78,0.66,22,2.54,-1,11,0.59,-0.2,91.5,-10,0.29,30,-2,26,41.3,-5,41,14.07,3.5,-0.02,0.9,7,-1,4.4,3,289,1.7,0.39,-0.05,56.2,-0.5,0.28,4.25,31,3,14.1,1.9,6,450,,11.45,0.12,0.06,-0.01,1.29,2.01,23.6724,-0.01,-0.01,0.11,0.15,59.71,0.03,0.64,-0.01
Al26AR001,38.053897,-113.657086,266865.5224,4215128.519,PV,"Rhyolite tuffs and related clastic deposits, undivided",7.62,0.6,0.04,0.9,0.02,0.02,1.3,3.2,8.4,8.8,>30.0,0.08,,,,155,,0.6,,44.3,,22,1.4,,2.99,2.89,0.08,27,1.5,,10,0.78,,30.3,,0.8,28,3,101,6.9,9,40,3.17,13.6,,0.5,,,1.2,12,57,9.5,0.37,,53.1,,0.63,10.07,12,5,23,5.2,7,167,,14.63,0.02,0.77,,0.04,1,10.128,0.04,,0.03,0.04,73.02,,0.14,
Al26AR002,38.054492,-113.656667,266904.2311,4215193.51,PV,"Rhyolite tuffs and related clastic deposits, undivided",5.9,0.3,0.76,0.3,0.02,,0.35,0.9,2.3,3.1,>30.0,0.03,,12,,21,,0.5,,3.4,,,2.3,,2.13,1.83,,27,1.1,,9,0.55,,1.4,14,0.36,15,25,106,1.5,,72,0.4,12.6,,0.8,,,0.6,12,43,10,0.26,,15,,0.34,3.58,,,16.2,2.5,,141,,11.26,,0.45,,1.08,0.35,7.78,0.05,,0.03,0.02,78.86,,0.04,
Al26AR003,38.054735,-113.657938,266793.4268,4215223.704,PV,"Rhyolite tuffs and related clastic deposits, undivided",9.18,0.1,0.07,,0.04,0.02,0.02,0,0.1,0.4,>30.0,0.08,,9,,37,,0.6,,92.2,,19,0.8,,1.44,1.52,,27,1.01,2,9,0.4,,51.5,,0.43,13,3,88,17.2,,38,7.8,4.4,,0.3,,,2,12,140,8.4,0.2,,61.3,,0.34,5.01,13,9,11.2,2.7,,168,,17.64,,0.13,,0.08,0.04,8.25,0.07,,0.02,0.04,73.57,0.01,0.14,
Al26AR004,38.054927,-113.65864,266732.4366,4215246.78,PV,"Rhyolite tuffs and related clastic deposits, undivided",6.03,<0.1,0.11,,,0.08,0.01,0,0.1,0.3,>30.0,0.05,,,,32,,0.6,,60.3,,,1.2,,1.8,1.85,,24,0.66,,9,0.48,,37.6,,0.49,,3,98,10.5,,51,4.84,4.5,,0.3,,,0.9,12,38,8.7,0.19,,40.8,,0.39,7.53,10,4,13.2,3.2,7,147,,11.5,,0.03,,0.15,0.03,6.77068,0.02,,0.02,0.16,80.99,,0.08,
Al26TB001,38.053671,-113.657398,266837.437,4215104.216,PV,"Rhyolite tuffs and related clastic deposits, undivided",7.65,0.5,0.05,0.8,0.02,0.01,1.06,2.6,6.8,6.9,>30.0,0.08,,,,154,,0.6,,25.1,,,1.1,,2.85,2.85,0.06,29,1.3,,9,0.7,,19.9,10,0.61,23,4,97,4.9,,25,1.99,10.1,,0.6,,,1,13,48,8.8,0.34,,41.7,,0.5,9.31,16,4,20.2,4.2,17,161,,14.08,0.03,0.66,,0.03,0.79,9.90099,0.03,,0.03,0.03,73.97,,0.13,
Al26TB002,38.054062,-113.657529,266827.1903,4215147.976,PV,"Rhyolite tuffs and related clastic deposits, undivided",7.12,1.6,0.3,0.2,0.04,0.02,0.05,0.1,0.3,0.9,>30.0,0.09,,,,40,,0.6,,72.4,0.6,10,1.5,,11.04,7.5,0.17,25,7.84,,9,2.29,,38.3,12,1.24,19,,99,24.9,11,58,8.75,5.9,,0.2,,,6.4,13,96,8.9,1.54,,64.7,,1.16,11.72,13,2,72.4,8.6,14,153,,13.24,,2.2,,0.37,0.1,8.24918,0.06,,0.04,0.03,75.18,0.01,0.15,
Al26TB003,38.053808,-113.658264,266761.8627,4215121.616,PV,"Rhyolite tuffs and related clastic deposits, undivided",6.14,1.4,0.48,0.6,0.13,0.02,0.72,1.8,4.7,5.2,>30.0,0.07,,6,,152,,0.5,,24.7,0.6,,1.2,,3.34,3.47,0.09,22,1.43,,8,0.87,,18.4,11,0.73,34,4,79,4.1,,37,1.93,10,,0.4,,,0.8,10,107,7,0.38,,40.1,,0.58,5.44,12,1,25.2,4.9,6,140,,11.5,0.03,1.95,,0.65,0.59,9.83,0.21,,0.06,0.04,74.45,,0.11,
