Field_No_,Latitude,Longitude,UTM_E,UTM_N,Location_Area,Stratigraphy,Al_per,Ca_per,Fe_per,K_per,Mg_per,P_per,S_per,SO3_from_S,pct_alunite_from_SO3,pct_alunite_from_K2O,Si_per,Ti_per,Ag_ppm,As_ppm,B_ppm,Ba_ppm,Be_ppm,Bi_ppm,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Cu_ppm,Dy_ppm,Er_ppm,Eu_ppm,Ga_ppm,Gd_ppm,Ge_ppm,Hf_ppm,Ho_ppm,In_ppm,La_ppm,Li_ppm,Lu_ppm,Mn_ppm,Mo_ppm,Nb_ppm,Nd_ppm,Ni_ppm,Pb_ppm,Pr_ppm,Rb_ppm,Re_ppm,Sb_ppm,Sc_ppm,Se_ppm,Sm_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Tb_ppm,Te_ppm,Th_ppm,Tl_ppm,Tm_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Yb_ppm,Zn_ppm,Zr_ppm,S_per_1,Al2O3_per,BaO_per,CaO_per,Cr2O3_per,Fe2O3_per,K2O_per,LOI_per,MgO_per,MnO_per,Na2O_per,P2O5_per,SiO2_per,SrO_per,TiO2_per,V2O5_per
Al25TB057,38.064953,-113.644188,268033.35,4216322.54,Red Bird,Rhyolite member of Steamboat Mountain Formation,6.86,0.2,0.09,0.1,0.06,-0.01,0.07,0.2,0.5,1,>30.0,0.05,-1,6,13,16,-5,1.3,-0.2,13.3,-0.5,-10,1.9,-10,1.45,1.23,-0.05,27,0.85,2,9,0.33,0.3,12.2,43,0.24,41,2,100,3.3,-5,27,1.2,11.6,-0.02,0.3,-5,-1,0.8,12,21,8.2,0.2,-0.05,32.8,1.5,0.2,10.78,-5,7,8.6,1.6,10,176,,13.36,-0.01,0.19,-0.01,0.12,0.11,6.24,0.1,-0.01,0.07,0.01,79.99,-0.01,0.09,-0.01
Al25TB058,38.064304,-113.64457,267997.82,4216251.53,Red Bird,Rhyolite member of Steamboat Mountain Formation,7.64,-0.1,0.09,-0.1,0.01,-0.01,0.01,0,0.1,0.4,>30.0,0.05,-1,-5,14,-10,-5,0.2,-0.2,5.9,-0.5,-10,0.6,-10,1.55,1.71,-0.05,30,0.58,2,10,0.42,0.2,4,60,0.44,20,3,107,1.5,-5,28,0.52,3.2,-0.02,1.4,-5,-1,0.4,10,-10,9,0.16,-0.05,10.7,0.6,0.33,9.34,-5,6,12.2,2.9,9,187,,14.61,-0.01,0.08,-0.01,0.13,0.04,5.94,0.02,-0.01,0.05,-0.01,79.16,-0.01,0.09,-0.01
Al25AR080,38.049581,-113.659575,266634.3718,4214655.116,PV,"Rhyolite tuffs and related clastic deposits, undivided",3.41,0.2,0.06,1.3,-0.01,0.04,2.32,5.8,15,12.8,>30.0,0.24,-1,15,-10,580,-5,0.2,-0.2,104,-0.5,21,0.4,-10,2.48,1.92,0.82,17,5,-1,5,0.55,-0.2,54.6,-10,0.37,12,4,14,44.1,-5,21,12.29,11,-0.02,0.4,-5,-1,8.3,2,417,1.2,0.47,-0.05,32.2,-0.5,0.33,3.35,37,1,14.8,2.4,-5,185,,6.39,0.07,0.21,-0.01,0.08,1.45,8.45831,0.02,-0.01,0.14,0.09,82.34,0.04,0.41,-0.01
Al25AR081,38.048993,-113.658988,266684.0682,4214588.397,PV,"Rhyolite tuffs and related clastic deposits, undivided",4.88,0.3,1.05,1.2,0.02,0.04,3.17,7.9,20.5,11.9,>30.0,0.25,-1,-5,-10,1250,-5,-0.1,-0.2,72.8,-0.5,31,-0.1,-10,1.21,0.75,0.94,12,2.78,-1,3,0.25,-0.2,37.1,-10,0.14,16,2,6,27.5,-5,9,7.94,12.7,-0.02,0.2,13,-1,3.6,-1,385,0.5,0.29,-0.05,11,-0.5,0.12,2.12,69,-1,6.4,0.9,-5,127,,8.98,0.15,0.33,-0.01,1.44,1.35,11.3989,0.03,-0.01,0.33,0.1,74.7,0.05,0.42,0.02
Al25AR082,38.049009,-113.659216,266664.0728,4214590.732,PV,"Rhyolite tuffs and related clastic deposits, undivided",9.36,0.4,1.96,2.6,0.03,0.08,5.99,15,38.7,25.5,26.5,0.32,-1,5,-10,1258,-5,-0.1,-0.2,57.8,-0.5,20,0.2,-10,0.85,0.56,0.56,16,1.62,-1,5,0.18,-0.2,30.4,-10,0.1,13,-2,10,21.2,9,17,6.3,34.8,-0.02,0.2,-5,1,2.8,-1,286,0.8,0.19,-0.05,8.4,-0.5,0.09,2.44,57,-1,4,0.6,-5,187,,17.28,0.14,0.42,-0.01,2.62,2.9,20.8117,0.04,-0.01,0.54,0.18,53.01,0.03,0.54,0.01
Al25AR083,38.048838,-113.659618,266628.2984,4214572.818,PV,"Rhyolite tuffs and related clastic deposits, undivided",6.32,0.2,0.37,2,0.02,0.07,4.67,11.7,30.2,19.3,>30.0,0.38,-1,-5,-10,561,-5,0.1,-0.2,91.6,-0.5,14,0.3,-10,1.21,0.71,0.72,13,1.94,-1,6,0.23,-0.2,44.6,-10,0.13,-10,-2,13,33.6,-5,10,10.5,44.3,-0.02,0.4,6,-1,3.9,1,452,0.9,0.21,-0.05,16.1,-0.5,0.12,3.53,50,-1,5.6,0.9,6,224,,11.63,0.07,0.22,-0.01,0.5,2.2,15.85,0.01,-0.01,0.59,0.17,67.03,0.04,0.64,-0.01
Al25AR084,38.050139,-113.658732,266710.1679,4214714.971,PV,"Rhyolite tuffs and related clastic deposits, undivided",6.04,1,0.05,2.7,0.06,0.03,4.47,11.2,28.9,25.8,>30.0,0.17,-1,12,16,503,-5,0.2,-0.2,133,0.5,20,0.2,-10,2.17,1.74,0.28,16,1.89,-1,5,0.5,-0.2,61.8,11,0.39,50,-2,23,42.1,25,21,15.02,7.6,-0.02,0.3,-5,-1,3.8,2,243,1.5,0.3,-0.05,20.1,-0.5,0.32,3.39,32,-1,14.3,2.5,8,140,,11.08,0.07,1.23,-0.01,0.06,2.93,15.1785,0.08,-0.01,0.08,0.07,66.94,0.03,0.28,-0.01
Al25AR085,38.050285,-113.658423,266737.7718,4214730.388,PV,"Rhyolite tuffs and related clastic deposits, undivided",4.41,0.1,0.02,1.9,-0.01,0.01,3.21,8,20.7,18,>30.0,0.04,-1,-5,12,120,-5,0.3,-0.2,24.6,-0.5,19,0.3,-10,2.3,2.14,0.05,20,1.01,-1,7,0.58,-0.2,13.4,-10,0.42,22,-2,68,6.5,-5,28,2.33,10.7,-0.02,0.2,-5,-1,0.9,8,89,5.5,0.27,-0.05,27.4,-0.5,0.38,6.11,18,1,15.3,3.1,-5,105,,8.16,0.02,0.04,-0.01,0.02,2.05,11.0711,-0.01,-0.01,0.11,0.04,76.56,0.02,0.08,-0.01
Al25AR086,38.051849,-113.656358,266923.941,4214898.745,PV,"Rhyolite tuffs and related clastic deposits, undivided",5.81,0.6,0.04,2.5,0.07,0.04,4.36,10.9,28.2,24.5,>30.0,0.06,-1,-5,-10,155,-5,0.4,-0.2,37.6,1,17,0.3,-10,3.01,2.82,0.07,20,1.35,-1,8,0.76,-0.2,19.6,-10,0.62,97,-2,80,10,11,32,3.7,19.9,-0.02,0.4,-5,-1,1.5,9,123,6.4,0.36,-0.05,32.2,-0.5,0.53,7.98,12,2,19.6,4.4,-5,131,,11.02,0.03,0.76,-0.01,0.04,2.78,15.1185,0.11,0.02,0.25,0.08,67.96,0.02,0.09,-0.01
Al25AR087,38.052558,-113.656512,266912.6805,4214977.859,PV,"Rhyolite tuffs and related clastic deposits, undivided",4,0.3,0.05,1.7,0.06,0.02,2.85,7.1,18.4,16.5,>30.0,0.09,-1,-5,11,136,-5,0.4,-0.2,31.9,0.5,29,0.6,-10,2.42,2.31,0.06,21,1.05,-1,8,0.6,-0.2,17.8,-10,0.52,56,-2,84,7.7,13,45,3,18.3,-0.02,0.4,-5,-1,0.9,11,165,6.6,0.27,-0.05,38.5,-0.5,0.43,9.46,13,2,17.2,3.6,5,133,,7.36,0.03,0.31,-0.01,0.06,1.88,10.359,0.08,0.01,0.09,0.05,78.57,0.02,0.15,-0.01
